YearMonth,year,month,cch,?1,cgl,?2,csl,?3,evl,?4,hip,?5,kub,?6,mow,?7,trs,?8,sef,?9,sum
200805,2008,5,34,,45,,22,,12,?,31,,23,?,8,,13,,,,188
200806,2008,6,34,,50,,19,,12,?,29,,23,,6,,13,,,,186
200807,2008,7,34,,51,,19,,12,?,26,,19,,6,,13,,,,180
200808,2008,8,32,,51,?,20,,12,?,26,?,21,,6,,12,,,,180
200809,2008,9,24,,18,,19,,12,,26,?,21,,8,,11,,,,139
200810,2008,10,23,,25,,18,,12,,23,,21,,8,,10,,,,140
200811,2008,11,13,,26,,14,,12,,19,,18,,6,,10,,,,118
200812,2008,12,13,?,30,,15,,12,,19,?,18,,5,,7,,,,119
200901,2009,1,31,,26,,15,?,13,,17,,18,,4,,14,?,,,138
200902,2009,2,28,,15,,15,,13,?,17,?,14,,4,,14,,,,120
200903,2009,3,28,?,44,,26,,17,,15,,17,,4,,10,,,,161
200904,2009,4,41,,51,,29,,10,,15,?,25,,10,,11,,,,192
200905,2009,5,35,,43,,31,,10,?,30,,20,,7,,11,,,,187
200906,2009,6,33,,23,,28,,25,,23,,20,,7,,9,,,,168
200907,2009,7,36,,69,,31,,25,?,29,,20,,7,,9,,,,226
200908,2009,8,30,,59,,27,,24,,29,?,20,,6,,8,,,,203
200909,2009,9,22,,62,,27,,21,,28,,18,,6,,8,,,,192
200910,2009,10,22,,61,,22,,21,?,22,,14,,,,,,8,,170
200911,2009,11,17,,44,,18,,21,?,24,,12,,,,,,7,,143
200912,2009,12,19,,47,?,19,,17,,19,,10,?,,,,,7,,138
201001,2010,1,18,?,28,?,11,?,,,16,?,7,?,,,,,7,?,87
201002,2010,2,19,?,27,?,15,?,,,16,?,13,?,,,,,9,?,90
201003,2010,3,24,?,38,?,36,?,,,15,?,13,?,,,,,9,?,126
